"Plate","Well","Sample","Ct","CtSD"
11,"H6","1221.3Chk.Dn.3",40.3000030517578,2.10638632365318
14,"E7","0321.5Sqm.Dn.1",38.126953125,1.80229465981527
14,"E8","0321.5Sqm.Dn.1",37.9881439208984,1.80229465981527
14,"E9","0321.5Sqm.Dn.1",34.9381980895996,1.80229465981527
14,"E10","0421.5Sqm.Dn.1",40.2216606140137,2.72875211029968
14,"E11","0421.5Sqm.Dn.1",38.9820785522461,2.72875211029968
14,"E12","0421.5Sqm.Dn.1",34.9990615844727,2.72875211029968
15,"A7","0721.1Prt.Dn.1",37.4312477111816,2.13104776864978
15,"A8","0721.1Prt.Dn.1",35.6559944152832,2.13104776864978
15,"A9","0721.1Prt.Dn.1",33.1879615783691,2.13104776864978
15,"B7","0721.2Brn.Dn.3",36.5022735595703,1.83475197502593
15,"B8","0721.2Brn.Dn.3",34.6044883728027,1.83475197502593
15,"B9","0721.2Brn.Dn.3",32.8334999084473,1.83475197502593
15,"C7","0821.1Prt.Dn.1",35.7503204345703,1.58375888207496
15,"C8","0821.1Prt.Dn.1",35.9185180664062,1.58375888207496
15,"C9","0821.1Prt.Dn.1",33.0951385498047,1.58375888207496
15,"D4","0421.5Sqm.Up.2",39.8947486877441,2.82934166181079
15,"D5","0421.5Sqm.Up.2",35.1275177001953,2.82934166181079
15,"D6","0421.5Sqm.Up.2",34.8709335327148,2.82934166181079
15,"D7","0821.1Prt.Dn.2",36.2996292114258,1.55112302235436
15,"D8","0821.1Prt.Dn.2",34.3243103027344,1.55112302235436
15,"D9","0821.1Prt.Dn.2",33.2403678894043,1.55112302235436
15,"E4","0421.5Sqm.Up.3",39.887077331543,2.81121430539917
15,"E5","0421.5Sqm.Up.3",35.6916351318359,2.81121430539917
15,"E6","0421.5Sqm.Up.3",34.5478324890137,2.81121430539917
15,"E7","0821.1Prt.Dn.3",36.6477317810059,1.84984411654702
15,"E8","0821.1Prt.Dn.3",36.3509826660156,1.84984411654702
15,"E9","0821.1Prt.Dn.3",33.3056564331055,1.84984411654702
15,"F7","0821.1Prt.Up.2",36.638355255127,1.83741437382764
15,"F8","0821.1Prt.Up.2",34.7698249816895,1.83741437382764
15,"F9","0821.1Prt.Up.2",38.4444770812988,1.83741437382764
15,"H4","0621.2Brn.Dn.3",33.6203460693359,1.80421523240673
15,"H5","0621.2Brn.Dn.3",31.0895595550537,1.80421523240673
15,"H6","0621.2Brn.Dn.3",30.1274166107178,1.80421523240673
16,"A10","0122.3Chk.Dn.1",38.1947937011719,1.61181470953455
16,"A11","0122.3Chk.Dn.1",35.4001426696777,1.61181470953455
16,"A12","0122.3Chk.Dn.1",38.1889724731445,1.61181470953455
21,"H7","0821.4Pad.Dn.2",39.0697975158691,1.92210884706531
21,"H8","0821.4Pad.Dn.2",35.3206748962402,1.92210884706531
21,"H9","0821.4Pad.Dn.2",36.4593238830566,1.92210884706531
24,"A4","0821.1Prt.Up.2",37.9091033935547,1.50662866484264
24,"A5","0821.1Prt.Up.2",35.026309967041,1.50662866484264
24,"A6","0821.1Prt.Up.2",35.7081565856934,1.50662866484264
18,"D10","0521.4Pad.Dn.2",39.0527496337891,1.82863152715272
18,"D11","0521.4Pad.Dn.2",36.0895347595215,1.82863152715272
18,"D12","0521.4Pad.Dn.2",39.4275360107422,1.82863152715272
