"Plate","Well","Sample","Ct","diffIPC","dilute"
12,"A7","0122.3Chk.Dn.2",37.1931457519531,9.93595314025879,TRUE
12,"A8","0122.3Chk.Dn.2",37.1931457519531,9.93595314025879,TRUE
12,"A9","0122.3Chk.Dn.2",37.1931457519531,9.93595314025879,TRUE
12,"B4","0122.2Brn.Dn.1",NA,NA,TRUE
12,"B5","0122.2Brn.Dn.1",NA,NA,TRUE
12,"B6","0122.2Brn.Dn.1",NA,NA,TRUE
12,"B7","0122.3Chk.Dn.3",32.9394989013672,5.68230628967285,TRUE
12,"B8","0122.3Chk.Dn.3",32.9394989013672,5.68230628967285,TRUE
12,"B9","0122.3Chk.Dn.3",32.9394989013672,5.68230628967285,TRUE
12,"C4","0122.2Brn.Dn.2",NA,NA,TRUE
12,"C5","0122.2Brn.Dn.2",NA,NA,TRUE
12,"C6","0122.2Brn.Dn.2",NA,NA,TRUE
12,"C7","0122.3Chk.Up.1",NA,NA,TRUE
12,"C8","0122.3Chk.Up.1",NA,NA,TRUE
12,"C9","0122.3Chk.Up.1",NA,NA,TRUE
12,"D7","0122.3Chk.Up.2",40.4053802490234,13.1481876373291,TRUE
12,"D8","0122.3Chk.Up.2",40.4053802490234,13.1481876373291,TRUE
12,"D9","0122.3Chk.Up.2",40.4053802490234,13.1481876373291,TRUE
12,"E7","0122.3Chk.Up.3",35.1194839477539,7.86229133605957,TRUE
12,"E8","0122.3Chk.Up.3",35.1194839477539,7.86229133605957,TRUE
12,"E9","0122.3Chk.Up.3",35.1194839477539,7.86229133605957,TRUE
12,"G7","0122.5Sqm.Dn.2",41.8858413696289,14.6286487579346,TRUE
12,"G8","0122.5Sqm.Dn.2",41.8858413696289,14.6286487579346,TRUE
12,"G9","0122.5Sqm.Dn.2",41.8858413696289,14.6286487579346,TRUE
12,"H4","0122.3Chk.Dn.1",36.9967765808105,9.73958396911621,TRUE
12,"H5","0122.3Chk.Dn.1",36.9967765808105,9.73958396911621,TRUE
12,"H6","0122.3Chk.Dn.1",36.9967765808105,9.73958396911621,TRUE
12,"H7","0122.5Sqm.Dn.3",NA,NA,TRUE
12,"H8","0122.5Sqm.Dn.3",NA,NA,TRUE
12,"H9","0122.5Sqm.Dn.3",NA,NA,TRUE
